Empresa;Finca;Lote;Siembra;SiembraAjustada;Densidad;Area;FechaInicio;FechaFinal;Latitud;Longitud;clay;silt;sand;textura;profundidad;clima
Manuelita;LA CASTELLANA;298;1/01/2000;1/01/2002;NA;4.28;7/01/2003;12/01/2018;3.92023;-73.35823;30.5;28.6;40.9;clay loam;1;ClimateData_Manuelita_LA CASTELLANA_298_2000-01-01_2018-12-01.csv
Manuelita;LA PONDEROSA;140;1/01/1998;1/01/1999;NA;4.88;11/01/2000;1/01/2019;3.91366;-73.37581;32.6;34.4;33;clay loam;1;ClimateData_Manuelita_LA PONDEROSA_140_1998-01-01_2019-01-01.csv
Manuelita;QUITASUENO;313;1/01/2008;1/01/2009;NA;3.74;3/01/2011;12/01/2018;3.9389;-73.2;32;28.8;39.2;clay loam;1;ClimateData_Manuelita_QUITASUENO_313_2008-01-01_2018-12-01.csv
Manuelita;QUITASUENO;314;1/01/2008;1/01/2009;NA;2.69;12/01/2010;12/01/2018;3.9439;-73.2083;32.7;29.1;38.2;clay loam;1;ClimateData_Manuelita_QUITASUENO_314_2008-01-01_2018-12-01.csv
Manuelita;SAMARIA;322;1/01/2009;1/01/2011;NA;44.99;8/01/2012;1/01/2019;3.8958;-73.347;29;30.2;40.8;clay loam;1;ClimateData_Manuelita_SAMARIA_322_2009-01-01_2019-01-01.csv
Manuelita;SIBERIA;231;1/01/1986;1/01/1987;NA;11.96;1/01/1992;1/01/2015;3.94182;-73.384;29.2;27.6;43.2;clay loam;1;ClimateData_Manuelita_SIBERIA_231_1986-01-01_2015-01-01.csv
Manuelita;TUCANDIRA;285;1/01/1998;1/01/1999;NA;6.31;7/01/2001;1/01/2019;3.9422;-73.22936;31.7;26.4;41.9;clay loam;1;ClimateData_Manuelita_TUCANDIRA_285_1998-01-01_2019-01-01.csv
Palmas Sicarare;PORORO;PORORO 10;13/08/2008;13/08/2009;NA;8.19;1/01/2011;8/01/2019;9.92813;-73.27583;34;34.5;31.5;clay loam;1;ClimateData_Palmas Sicarare_PORORO_PORORO 10_2008-08-13_2019-08-01.csv
Palmas Sicarare;SICARARE;ESPERANZA 11;23/08/2008;23/08/2008;NA;5.36;8/01/2010;8/01/2019;9.90011;-73.32707;35.3;35.6;29.1;clay loam;1;ClimateData_Palmas Sicarare_SICARARE_ESPERANZA 11_2008-08-23_2019-08-01.csv
Palmas Sicarare;SICARARE;ESPERANZA 13;27/08/2008;27/08/2008;NA;4.83;8/01/2010;8/01/2019;9.89972;-73.32941;36.8;36.9;26.3;clay loam;1;ClimateData_Palmas Sicarare_SICARARE_ESPERANZA 13_2008-08-27_2019-08-01.csv
Palmas Sicarare;SICARARE;ESPERANZA 15;25/08/2008;25/08/2008;NA;6.72;8/01/2010;8/01/2019;9.89934;-73.33183;34.3;36.2;29.4;clay loam;1;ClimateData_Palmas Sicarare_SICARARE_ESPERANZA 15_2008-08-25_2019-08-01.csv
Palmas Sicarare;SICARARE;ESPERANZA 17;21/08/2008;21/08/2008;NA;2.15;7/01/2010;8/01/2019;9.89967;-73.33428;37.1;35.7;27.2;clay loam;1;ClimateData_Palmas Sicarare_SICARARE_ESPERANZA 17_2008-08-21_2019-08-01.csv
Palmas Sicarare;SICARARE;ESPERANZA 18;20/05/2008;20/05/2008;NA;17.21;7/01/2010;5/01/2019;9.90304;-73.33733;37.4;34.9;27.6;clay loam;1;ClimateData_Palmas Sicarare_SICARARE_ESPERANZA 18_2008-05-20_2019-05-01.csv
Palmas Sicarare;TAMACA;CAMPO GRANDE 11;4/02/2008;4/02/2009;NA;23.28;7/01/2010;4/01/2019;9.91783;-73.24095;34;35.5;30.5;clay loam;1;ClimateData_Palmas Sicarare_TAMACA_CAMPO GRANDE 9_2008-03-27_2019-03-01.csv
Palmas Sicarare;TAMACA;CAMPO GRANDE 9;27/03/2008;27/03/2009;NA;26.26;7/01/2010;3/01/2019;9.9161;-73.23864;33;36.6;30.4;clay loam;1;ClimateData_Palmas Sicarare_TAMACA_CAMPO GRANDE 11_2008-04-02_2019-04-01.csv
