RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           mesocarp_oil_t_growth_end                      21965.9169269134 0.0195340019253628
2           mesocarp_fibers_t_growth_start                 21716.6720281704 0.01931235170479
3           mesocarp_fibers_specific_maintenance           21709.7835129122 0.0193062258384871
4           mesocarp_fibers_t_growth_end                   21508.3678968266 0.0191271095718862
5           mesocarp_oil_t_growth_start                    21371.8460646625 0.0190057024964966
6           mesocarp_oil_conversion_efficiency             21306.1541808231 0.0189472835654923
7           mesocarp_fibers_potential_mass_fraction        21093.1903587335 0.0187578976307019
8           mesocarp_fibers_conversion_efficiency          20907.5054566843 0.0185927704818464
9           mesocarp_oil_potential_mass_fraction           20837.5963058317 0.0185306011905803
10          stalk_t_growth_end                             20683.5573881823 0.0183936164007372
11          mesocarp_oil_specific_maintenance              20663.6395425012 0.0183759037217182
12          stalk_t_growth_start                           20429.222138179 0.0181674393975289
13          stalk_conversion_efficiency                    20224.6382584708 0.0179855056356279
14          stalk_potential_mass_fraction                  20215.6811563167 0.0179775402021199
15          stalk_specific_maintenance                     20168.2287931967 0.0179353414377508
16          female_stress_inflorescence_abortion           20025.5440948634 0.017808453806279
17          female_stress_inflorescence_abortion_x0        19991.7528783954 0.0177784037205146
18          female_stress_bunch_failure_x0                 19809.5415701709 0.0176163655931047
19          female_stress_bunch_failure                    19749.1322734604 0.0175626443975735
20          female_stress_inflorescence_abortion_asymptote 19496.6459316099 0.0173381116041442
21          female_stress_bunch_failure_increase           19477.0660762545 0.0173206994954904
22          female_stress_inflorescence_abortion_increase  19460.6538417919 0.0173061043105656
23          female_bunch_failure_t0                        19391.3387656298 0.0172444633221328
24          female_inflorescence_abortion_dt               19255.3668488893 0.0171235452793195
25          female_inflorescence_abortion_t0               19098.7945684705 0.0169843076031807
26          male_t_anthesis                                18903.2786968125 0.016810437901947
27          female_bunch_failure_dt                        18805.4595907227 0.0167234486534193
28          female_t_anthesis                              18541.2293609042 0.0164884721743955
29          female_stress_bunch_failure_asymptote          18499.3711316077 0.0164512481998904
30          soil_relative_evapotranspiration_b             18477.3352756975 0.0164316520021442
31          indeterminate_potential_mass_b                 18417.9970194559 0.0163788832688594
32          indeterminate_potential_mass_a                 18407.6784553522 0.0163697071050899
33          soil_relative_evapotranspiration_a             18274.1208350307 0.0162509360644278
34          trunk_mass_loss_rate                           18201.4506035626 0.0161863113803713
35          indeterminate_t_differentiation                18136.7586140078 0.0161287816422445
36          indeterminate_abortion_fraction                18129.7565015329 0.0161225547554261
37          soil_default_water_holding_capacity            18108.8736489572 0.0161039839084281
38          roots_conversion_efficiency                    18106.4312650956 0.0161018119284823
39          indeterminate_bunch_FM_to_DM_ratio             18064.0231553089 0.0160640989524668
40          roots_loss_param                               18027.9265023068 0.0160319986722195
41          trunk_lignification_rate                       17853.6864685969 0.015877049294723
42          roots_specific_maintenance                     17838.2935568647 0.0158633605801379
43          assimilates_vegetative_priority                17810.272619792 0.0158384419281849
44          trunk_conversion_efficiency                    17528.3112978578 0.0155876974214172
45          trunk_specific_maintenance                     17168.6456817872 0.0152678515046642
46          fronds_time_mature_canopy                      16525.0975410004 0.0146955525806984
47          fronds_specific_maintenance_rachis             16510.722378808 0.0146827689374352
48          trunk_density_b                                16446.8999322288 0.0146260124724759
49          trunk_density_a                                16428.0953550533 0.0146092898085428
50          fronds_specific_maintenance_leaflets           15585.2283055767 0.0138597391923732
51          fronds_specific_leaf_area                      14884.9718063547 0.013237010268761
52          fronds_potential_growth_rate                   14413.9491828863 0.012818136025344
53          fronds_leaf_area_c                             14166.1562409664 0.0125977770109373
54          fronds_leaf_area_b                             13495.3744947676 0.0120012595987417
55          fronds_k                                       13413.7947683119 0.0119287118176062
56          fronds_leaf_area_a                             13411.5006331974 0.0119266716733275
57          fronds_initiation_rate_max                     12401.520829061 0.0110285098754739
58          fronds_initiation_rate_c                       11924.7129567317 0.010604490886096
59          fronds_initiation_rate_b                       11161.3153705536 0.00992561142170412
60          fronds_initiation_rate_a                       9887.98029631225 0.00879325123502842
61          fronds_initial_light_efficiency                8883.66609637011 0.00790012778470243
62          fronds_fronds_goal_count_t0                    8148.24047218829 0.00724612341937009
63          fronds_fronds_goal_count_t1                    7277.66131042114 0.00647192878507718
64          fronds_fraction_rachis                         5684.64101424338 0.00505527672196429
65          fronds_fraction_leaflets                       4774.84846612171 0.00424621013731766
66          fronds_conversion_efficiency                   3417.49685535962 0.00303913514626484
67          fronds_asymptotic_photosynthesis_rate          1793.89525285074 0.0015952875283868
