Empresa;Finca;Lote;Siembra;SiembraAjustada;Densidad;Area;FechaInicio;FechaFinal;Latitud;Longitud;clay;silt;sand;textura;profundidad;clima
Manuelita;QUITASUENO;313;1/01/2008;1/01/2009;NA;3.74;3/01/2011;12/01/2018;3.9389;-73.2;32;28.8;39.2;clay loam;1;ClimateData_Manuelita_QUITASUENO_313_2008-01-01_2018-12-01.csv
Manuelita;QUITASUENO;314;1/01/2008;1/01/2009;NA;2.69;12/01/2010;12/01/2018;3.9439;-73.2083;32.7;29.1;38.2;clay loam;1;ClimateData_Manuelita_QUITASUENO_314_2008-01-01_2018-12-01.csv
Manuelita;SAMARIA;322;1/01/2009;1/01/2011;NA;44.99;8/01/2012;1/01/2019;3.8958;-73.347;29;30.2;40.8;clay loam;1;ClimateData_Manuelita_SAMARIA_322_2009-01-01_2019-01-01.csv
Palmas Sicarare;SICARARE;ESPERANZA 11;23/08/2008;23/08/2008;NA;5.36;8/01/2010;8/01/2019;9.90011;-73.32707;35.3;35.6;29.1;clay loam;1;ClimateData_Palmas Sicarare_SICARARE_ESPERANZA 11_2008-08-23_2019-08-01.csv
Palmas Sicarare;SICARARE;ESPERANZA 17;21/08/2008;21/08/2008;NA;2.15;7/01/2010;8/01/2019;9.89967;-73.33428;37.1;35.7;27.2;clay loam;1;ClimateData_Palmas Sicarare_SICARARE_ESPERANZA 17_2008-08-21_2019-08-01.csv
Palmas Sicarare;TAMACA;CAMPO GRANDE 9;27/03/2008;27/03/2009;NA;26.26;7/01/2010;3/01/2019;9.9161;-73.23864;33;36.6;30.4;clay loam;1;ClimateData_Palmas Sicarare_TAMACA_CAMPO GRANDE 9_2008-03-27_2019-03-01.csv
Palmas Sicarare;TAMACA;TAMACA 14;21/05/2008;21/05/2008;NA;15.04;7/01/2010;5/01/2019;9.92243;-73.23852;34.6;35.2;30.2;clay loam;1;ClimateData_Palmas Sicarare_TAMACA_TAMACA 14_2008-05-21_2019-05-01.csv
PalmasCesar;PalmasCesar;10 98 HP;4/01/1997;4/01/1999;143;16.52;6/01/2000;4/01/2019;7.8793;-73.47065;33.1;35.5;31.5;clay loam;0.75;ClimateData_PalmasCesar_PalmasCesar_10 98 HP_1997-01-04_2019-04-01.csv
PalmasCesar;PalmasCesar;13 98 HP;4/01/1997;4/01/1999;143;11.18;6/01/2000;4/01/2019;7.81558;-73.62124;30.9;36.2;33;clay loam;0.75;ClimateData_PalmasCesar_PalmasCesar_13 98 HP_1997-01-04_2019-04-01.csv
PalmasCesar;PalmasCesar;3 97 HP;4/01/1997;4/01/1998;143;10.29;9/01/1999;4/01/2019;7.89448;-73.45819;33.3;34.3;32.4;clay loam;0.75;ClimateData_PalmasCesar_PalmasCesar_3 97 HP_1997-01-04_2019-04-01.csv
PalmasCesar;PalmasCesar;5 97 HP;4/01/1997;4/01/1998;143;10;9/01/1999;4/01/2019;7.89448;-73.45819;33.3;34.3;32.4;clay loam;0.75;ClimateData_PalmasCesar_PalmasCesar_5 97 HP_1997-01-04_2019-04-01.csv
