Date,temperature (degC),humidity (%),solar (MJ/m2/day),precip (mm/day)
2008-03-27,28.95,78.19,22.7,0
2008-03-28,28.88,78.24,20.62,0
2008-03-29,28.02,78.54,18.77,0
2008-03-30,27.6,81.27,19.55,0
2008-03-31,27.73,81.66,10.53,11.95
2008-04-01,27.74,82.12,18.75,3.97
2008-04-02,27.9,81.43,22.76,0
2008-04-03,27.66,81.24,22.69,0
2008-04-04,27.83,80.74,21.8,0
2008-04-05,28.66,81.72,19.34,5.46
2008-04-06,29.26,81.83,22.07,6.86
2008-04-07,28.94,81.6,19.96,0
2008-04-08,29.15,81.42,20.83,6.86
2008-04-09,28.92,81.66,21.74,0
2008-04-10,28.81,81.41,18.5,6.86
2008-04-11,29.25,81.38,18.9,4.8
2008-04-12,28.91,80.69,21.37,4.8
2008-04-13,28.94,80.13,20.71,0
2008-04-14,28.39,80.08,18.22,12.14
2008-04-15,28.43,82.93,17.13,4.8
2008-04-16,29.02,81.57,24.12,8.23
2008-04-17,29.53,81.85,24.68,0
2008-04-18,29.02,81.56,21.74,0
2008-04-19,28.8,81.5,18.08,4.11
2008-04-20,29.26,81.38,19.73,0
2008-04-21,29.07,81.55,22.42,0
2008-04-22,29.41,81.4,19.44,6.85
2008-04-23,28.57,81.11,14.38,6.85
2008-04-24,28.56,85.99,15.09,20.54
2008-04-25,28.68,85.11,13.19,20.54
2008-04-26,28.59,83.61,19.82,0
2008-04-27,28.7,86.6,15.01,8.53
2008-04-28,28.77,87.42,18.25,4
2008-04-29,28.76,84.71,20.22,5.62
2008-04-30,28.72,84.16,16.18,4
2008-05-01,28.8,84.88,14.94,16.9
2008-05-02,28.56,88.04,14.86,22.53
2008-05-03,28.72,87.74,17.98,11.26
2008-05-04,28.03,87.24,17.26,13.22
2008-05-05,28.9,87.69,17.62,5.63
2008-05-06,28.86,85.56,14.5,5.41
2008-05-07,29.1,82.93,22.73,0
2008-05-08,28.95,82.99,16.52,0
2008-05-09,28.96,83.89,17.06,3.36
2008-05-10,29.02,83.65,24.3,0
2008-05-11,29.17,83.45,16.18,0
2008-05-12,28.74,85.75,21.89,0
2008-05-13,28.72,83.4,19.56,8.39
