Date,temperature (degC),humidity (%),solar (MJ/m2/day),precip (mm/day)
2008-05-21,28.38,94.95,17.48,25.51
2008-05-22,28.44,93.03,19.83,0
2008-05-23,28.3,86.53,18.95,18
2008-05-24,28.37,87.47,12.74,27
2008-05-25,28.33,94.06,14.21,9
2008-05-26,26.97,95.43,20.42,4.96
2008-05-27,26.81,92.95,16.24,9.92
2008-05-28,26.81,94.19,10.88,34.25
2008-05-29,28.3,87.92,21.98,2.21
2008-05-30,28.22,87.14,23.18,4.96
2008-05-31,28.65,87.51,22.66,0
2008-06-01,28.62,87.66,21.54,0
2008-06-02,28.25,88.17,20.2,16.13
2008-06-03,28.05,87.74,18.49,11.19
2008-06-04,28.15,87.98,23.14,10.75
2008-06-05,28.2,87.64,15.33,29.35
2008-06-06,28.1,87.34,19.45,3.96
2008-06-07,28.59,86.72,20.21,1.98
2008-06-08,28.85,87.38,16.11,3.96
2008-06-09,28.56,87.63,19.67,0
2008-06-10,27.96,88.06,16.5,9.89
2008-06-11,28.5,87.06,21.58,0
2008-06-12,28.54,86.71,23,0
2008-06-13,28.91,86.79,23.02,0
2008-06-14,28.92,86.63,20.36,4.51
2008-06-15,28.28,88.2,15.72,27.06
2008-06-16,28.24,88.67,21.91,7.64
2008-06-17,28.77,87.68,23.56,0
2008-06-18,28.78,87.65,20.86,0
2008-06-19,28.79,87.32,18.12,0
2008-06-20,28.32,87.86,23.6,0
2008-06-21,28.1,92.5,18.56,8.34
2008-06-22,28.14,91.93,11.05,32.55
2008-06-23,28.27,88.82,17.64,0
2008-06-24,28.25,91.45,20.61,0
2008-06-25,27.99,92.14,16.65,20.86
2008-06-26,27.29,92.21,20.91,8.82
2008-06-27,28.17,89.63,22.73,4.08
2008-06-28,28.17,89.69,16.63,0
2008-06-29,28.01,89.29,19.92,8.82
2008-06-30,27.95,89.21,17.23,4.41
2008-07-01,27.98,90.48,19.91,8.29
2008-07-02,28.02,92.73,16.56,4.15
2008-07-03,27.99,92.83,17.66,8.29
