Date,temperature (degC),humidity (%),solar (MJ/m2/day),precip (mm/day)
1997-01-04,26.61,80.54,21.54,0
1997-01-05,26.84,80.52,22.51,0
1997-01-06,26.76,81,21.6,0
1997-01-07,26.68,83.8,21.34,0
1997-01-08,26.58,83.6,20.19,0
1997-01-09,26.5,83.58,19.02,0
1997-01-10,26.2,86.94,14.14,21.88
1997-01-11,26.39,86.05,17.62,0
1997-01-12,26.41,82.82,20.13,0
1997-01-13,26.45,83.4,21.55,0
1997-01-14,26.41,83.51,18.81,0
1997-01-15,26.44,82.46,20.96,0
1997-01-16,26.42,82.41,21.48,0
1997-01-17,26.4,81.23,18.04,0
1997-01-18,26.4,82.27,20.63,0
1997-01-19,26.68,79.18,21.52,5.69
1997-01-20,26.53,79.3,22.39,0
1997-01-21,26.85,78.69,23.92,0
1997-01-22,26.77,78.89,24.09,0
1997-01-23,26.4,78.29,24.42,0
1997-01-24,26.43,79.04,23.35,0
1997-01-25,26.74,80.36,22,0
1997-01-26,27.07,78.01,23.73,0
1997-01-27,27.06,77.91,22.82,0
1997-01-28,27,76.31,23.71,0
1997-01-29,27.52,76.46,23.67,21.33
1997-01-30,27.43,77.64,22.43,0
1997-01-31,26.99,79.48,18.3,0
1997-02-01,27.29,77.39,21.44,0
1997-02-02,27.12,77.2,22.23,0
1997-02-03,27.32,77.57,20.89,0
1997-02-04,26.98,77.44,16.51,0
1997-02-05,26.89,76.92,16.18,12.47
1997-02-06,27.38,80.14,21.52,3.55
1997-02-07,26.94,77.86,15.34,0
1997-02-08,26.87,78.66,19,7.16
1997-02-09,27.12,78.65,20.37,17.87
1997-02-10,26.54,84.71,20.5,14.31
1997-02-11,26.32,84.22,19.52,21.09
1997-02-12,26.89,79.3,19.05,10.62
1997-02-13,27.42,76.92,21.73,0
1997-02-14,27.63,75.78,23.42,0
1997-02-15,27.65,76.04,23.48,0
1997-02-16,27.3,75.8,21.88,0
1997-02-17,27.24,75.56,16.2,0
1997-02-18,27.14,76.14,22.15,0
1997-02-19,27.09,73.12,24.85,0
1997-02-20,27.21,73.27,22.94,0
1997-02-21,27.66,71.72,25.37,0
1997-02-22,27.77,75.43,24.59,0
1997-02-23,27.76,75.55,19.03,4.66
1997-02-24,27.94,72.49,18.15,0
1997-02-25,27.81,76.43,12.76,0
1997-02-26,27.71,76.37,22.93,0
1997-02-27,28.03,74.59,23.67,0
1997-02-28,28.28,73.54,19.85,0
1997-03-01,28.04,73.28,26.04,0
1997-03-02,27.77,73.62,26.35,0
1997-03-03,27.4,73.83,26.93,0
1997-03-04,27.38,73.68,26.49,0
1997-03-05,27.49,73.38,26.04,0
1997-03-06,27.75,75.11,25.28,0
1997-03-07,28.06,73.3,25.94,0
1997-03-08,28.43,74.82,26.48,0
1997-03-09,28.22,76.32,26.25,0
1997-03-10,28.18,78.12,22.36,0
1997-03-11,27.5,78.76,17.43,0
1997-03-12,27.83,77.83,21.79,23.7
1997-03-13,28,77.66,10.73,47.4
1997-03-14,28.28,76.76,23.71,0
1997-03-15,28.5,77.71,23.57,0
1997-03-16,28.45,79.25,15.93,0
1997-03-17,28,78.26,11.21,0
1997-03-18,26.39,81.02,10.07,23.38
1997-03-19,26.87,79.57,16.49,0
1997-03-20,27.56,80.73,23.55,0
1997-03-21,27.37,79.23,24.64,0
1997-03-22,27.6,80.54,22.98,0
1997-03-23,27.79,79.73,25.06,0
1997-03-24,27.93,78.48,25.18,0
1997-03-25,28.15,77.75,23.75,0
1997-03-26,27.83,78.56,21.16,0
1997-03-27,27.54,76.71,21.17,0
1997-03-28,27.8,78.14,15.91,0
1997-03-29,27.94,79.66,24.21,0
1997-03-30,27.84,78.93,24.8,0
1997-03-31,27.77,83.26,24.44,0
1997-04-01,28.16,84.88,21.42,0
1997-04-02,28.24,83.2,23.84,0
1997-04-03,27.83,81.7,25.61,0
1997-04-04,27.84,82.51,19.66,0
1997-04-05,26.15,85.83,22.69,4.56
1997-04-06,27.25,82.56,21.06,0
1997-04-07,26.71,83.74,20.88,5.48
1997-04-08,27.17,85.03,20.21,5.98
1997-04-09,26.57,85.42,11.03,10.63
1997-04-10,27.91,84,16.54,4.31
1997-04-11,27.93,84,17.82,7.08
1997-04-12,28.41,82.4,21.29,0
1997-04-13,27.95,83.91,19.58,7.8
1997-04-14,27.84,84.52,19.05,3.81
1997-04-15,28.28,83.42,21.62,1.71
1997-04-16,28.14,82.62,22.08,0
1997-04-17,27.9,84.29,18.44,30.38
1997-04-18,26.43,86.02,12.28,59.21
1997-04-19,27.74,87.52,21.49,15.59
1997-04-20,26.89,89.37,14.75,15.19
1997-04-21,26.97,86.5,19.53,2.45
1997-04-22,27.93,85.58,21.7,0
1997-04-23,26.97,87.71,21.64,3.98
1997-04-24,25.96,89.03,22.4,10.81
1997-04-25,26.98,84.14,14.4,28.03
1997-04-26,27.86,85.33,20.17,7.64
1997-04-27,28.13,85.06,22.19,0
1997-04-28,27.76,86.44,22.85,0
1997-04-29,28.19,85.21,25.75,0
1997-04-30,28.27,85.66,22.29,0
1997-05-01,27.8,84.97,21.36,9.38
1997-05-02,27.81,84.75,24.46,9.38
1997-05-03,27.98,86.14,16.45,9.38
1997-05-04,26.91,85.09,24.17,10.64
1997-05-05,26.92,88.93,24.41,2.26
1997-05-06,26.8,87.95,24.22,2.67
1997-05-07,26.75,88.52,5.29,67.12
1997-05-08,27.83,87.93,25.31,4.79
1997-05-09,26.84,89.28,20.74,2.72
1997-05-10,26.87,88.54,21.61,31.87
1997-05-11,26.37,89.25,11.43,6.01
1997-05-12,27.09,86.46,26.13,18.02
1997-05-13,27.62,86.75,20.32,0
1997-05-14,28.16,87.15,21.81,0
1997-05-15,28.17,87.25,24.47,13.67
1997-05-16,28.36,87,25.65,0
1997-05-17,28.05,86.68,25.3,6.24
1997-05-18,28.3,86.04,25.97,0
1997-05-19,28.17,87.23,24.18,0
1997-05-20,28.3,86.62,17.04,49.99
1997-05-21,27.96,87.18,21.51,0
1997-05-22,28.01,86.93,17.32,15.33
1997-05-23,28.25,87.23,21.1,5.83
1997-05-24,27.47,87.95,25.72,11.44
1997-05-25,27.38,89.57,16.85,24.81
1997-05-26,26.55,88.27,18.88,10.17
1997-05-27,26.67,88.39,19.87,23.53
1997-05-28,26.24,90.53,18.84,12.08
1997-05-29,26.39,87.94,17.3,30.08
1997-05-30,26.37,88.21,8.63,32.23
1997-05-31,26.82,87.98,22.63,15.04
1997-06-01,26.7,88.27,14.42,32.84
1997-06-02,27.37,88.03,21.4,0
1997-06-03,26.67,87.38,22.06,9.39
1997-06-04,26.4,88,9.93,11.68
1997-06-05,26.28,88.36,22.38,0
1997-06-06,26.44,87.27,15.44,8.62
1997-06-07,26.45,87.86,20.28,5.75
1997-06-08,26.46,87.68,14.81,7.78
1997-06-09,26.2,87.35,18.67,2.87
1997-06-10,26.95,88.34,22.23,0
1997-06-11,27.02,87.65,20.97,9.67
1997-06-12,26.57,87.33,16.61,27.62
1997-06-13,26.56,87.09,21.16,0
1997-06-14,26.94,87.47,20.43,7.73
1997-06-15,26.6,88.24,23.93,0
1997-06-16,26.4,84.93,19.44,56.91
1997-06-17,26.35,88.21,23.26,0
1997-06-18,26.52,88.29,18.84,0
1997-06-19,26.39,86.43,18.8,0
1997-06-20,26.61,84.94,23.9,0
1997-06-21,27.52,86.67,18.7,14.92
1997-06-22,27.25,85.79,22.19,11.8
1997-06-23,27.29,85.44,25.23,0
1997-06-24,27.33,86.23,15.46,5.68
1997-06-25,27.34,87.01,10.11,4.88
1997-06-26,26.57,87.32,13.55,14.24
1997-06-27,26.8,86.82,12.92,15.39
1997-06-28,27.23,87.14,24.19,0
1997-06-29,27.13,85.56,18.38,17.07
1997-06-30,27.47,86.54,18.52,10.44
1997-07-01,27.35,86.47,22.62,7.57
1997-07-02,27.23,87.49,25.79,0
1997-07-03,27.36,86.15,21.39,13.25
1997-07-04,27.51,86.04,25.3,4.67
1997-07-05,27.46,86.27,22.77,0
1997-07-06,27.89,86.1,23.88,0
1997-07-07,28,87.51,23.58,0
1997-07-08,26.69,87.05,24.43,16.39
1997-07-09,27.13,84.94,20.09,18.89
1997-07-10,27.32,85.43,22.38,6.3
1997-07-11,28.05,86.87,19.78,0
1997-07-12,27.33,86.17,23.29,0
1997-07-13,28.07,83.51,26.56,0
1997-07-14,28.15,84.34,21.66,0
1997-07-15,27.17,86.15,22.9,5.36
1997-07-16,27.19,84.95,21.58,14.12
1997-07-17,27.15,84.13,22.26,11.29
1997-07-18,28.1,87.25,20.97,10.09
