Empresa,Finca,Lote,Material,Variedad,Siembra,Fecha,Edad,RFF_ton_ha
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2010-11-01,2.19,0.054
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2010-08-01,1.938,0.075
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2010-10-01,2.105,0.093
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2010-09-01,2.023,0.127
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-01-01,2.357,0.129
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2010-12-01,2.272,0.14
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-02-01,2.442,0.181
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-04-01,2.604,0.487
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-05-01,2.686,0.537
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-06-01,2.771,0.634
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2019-07-01,10.853,0.659
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-03-01,2.519,0.659
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2019-06-01,10.771,0.732
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2019-08-01,10.938,0.804
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-09-01,3.023,0.882
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-07-01,9.854,0.963
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-09-01,10.023,0.98
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-08-01,5.938,0.991
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-07-01,4.854,1.012
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-01-01,3.357,1.075
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-07-01,6.853,1.094
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-06-01,5.771,1.112
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-10-01,9.106,1.116
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-10-01,10.105,1.138
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-08-01,2.938,1.244
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-09-01,6.023,1.249
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-12-01,3.272,1.258
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-10-01,5.106,1.269
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-11-01,9.191,1.274
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-08-01,9.938,1.293
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-12-01,8.274,1.323
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-07-01,2.853,1.403
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-11-01,4.192,1.428
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-07-01,3.855,1.433
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-11-01,7.19,1.482
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-12-01,9.273,1.486
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-11-01,3.19,1.493
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-11-01,8.192,1.531
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2011-10-01,3.105,1.608
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-05-01,4.687,1.626
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-10-01,6.105,1.765
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-11-01,5.191,1.782
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-04-01,3.606,1.809
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-04-01,7.606,1.92
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-09-01,9.024,1.945
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-08-01,4.939,2.037
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2019-05-01,10.686,2.048
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-05-01,3.688,2.054
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-08-01,3.94,2.081
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-06-01,4.772,2.098
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-01-01,7.357,2.102
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-08-01,7.94,2.123
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-10-01,7.105,2.126
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-09-01,5.024,2.139
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-12-01,5.273,2.164
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-05-01,6.686,2.164
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-10-01,8.107,2.189
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-12-01,10.272,2.21
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-06-01,3.773,2.219
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-09-01,7.023,2.219
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-12-01,7.272,2.232
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-09-01,8.025,2.259
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-01-01,9.358,2.315
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-12-01,4.274,2.35
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-05-01,5.687,2.354
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-02-01,3.441,2.454
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-03-01,3.521,2.51
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-08-01,8.939,2.593
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-04-01,6.604,2.611
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-03-01,7.521,2.616
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-02-01,8.444,2.671
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-03-01,9.52,2.709
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-04-01,4.605,2.789
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-07-01,5.854,2.843
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-06-01,6.771,2.86
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-06-01,8.772,2.883
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-02-01,4.444,2.887
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-07-01,7.855,2.995
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-08-01,6.938,3.012
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-06-01,9.771,3.012
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2019-04-01,10.604,3.063
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-05-01,9.687,3.072
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-02-01,7.441,3.124
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-11-01,10.19,3.159
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-10-01,4.107,3.263
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-07-01,8.854,3.299
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2012-09-01,4.025,3.304
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-05-01,7.688,3.308
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-11-01,6.19,3.383
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-02-01,6.442,3.468
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-01-01,8.359,3.496
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2016-06-01,7.773,3.699
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2015-01-01,6.357,3.739
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-02-01,5.443,3.774
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-04-01,8.605,3.904
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2017-05-01,8.687,4.019
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-03-01,4.52,4.249
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2019-02-01,10.442,4.257
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2013-01-01,4.359,4.263
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2018-02-01,9.443,4.449
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-04-01,5.604,4.5
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-03-01,5.52,4.585
Palmas Sicarare,SICARARE,ESPERANZA 11,IRHO 2101,IRHO 2101,2008-08-23,2014-12-01,6.272,4.991
