Date,temperature (degC),humidity (%),solar (MJ/m2/day),precip (mm/day)
2009-01-01,25.28,76.97,11.97,0
2009-01-02,25.86,78.05,12.33,0
2009-01-03,25.55,76.39,18.6,0
2009-01-04,26.47,78.94,20.55,0
2009-01-05,26.39,78.14,16.9,0
2009-01-06,26.16,74.71,13.75,0
2009-01-07,26.16,79.34,16.61,0
2009-01-08,26.26,78.43,15.77,0
2009-01-09,26.11,76.22,16.16,0
2009-01-10,25.97,77.09,13.1,0
2009-01-11,26.31,73.46,16.47,0
2009-01-12,25.3,77.42,8.77,0
2009-01-13,25.64,76.65,13.96,0
2009-01-14,26.26,72.93,17.17,0
2009-01-15,26.36,73.38,13.59,0
2009-01-16,26.32,75.99,17.81,0
2009-01-17,25.42,80.38,14.8,0
2009-01-18,26.3,75.82,20.05,0
2009-01-19,25.54,81.48,11.46,4.28
2009-01-20,26.03,81.72,8.08,21.38
2009-01-21,25.72,77.25,18.8,0
2009-01-22,25.77,79.76,16.75,13.33
2009-01-23,26.27,79.26,9.22,13.33
2009-01-24,26.37,79.69,14.49,2.56
2009-01-25,26.26,77.14,16.4,0
2009-01-26,26.63,74.32,18.07,0
2009-01-27,26.53,73.79,22.42,0
2009-01-28,26.3,73.78,18.58,0
2009-01-29,26.51,72.19,18.51,0
2009-01-30,26.1,75.35,15.92,0
2009-01-31,25.84,73.78,7.51,61
2009-02-01,26.21,74.32,12.07,7.96
2009-02-02,25.74,72.69,17.28,7.96
2009-02-03,26.44,69.99,17.54,0
2009-02-04,25.8,74.36,14.16,0
2009-02-05,25.76,76.72,17.54,0
2009-02-06,25.91,75.57,20.1,0
2009-02-07,26.53,73.27,21.91,0
2009-02-08,26.54,72.85,23.47,0
2009-02-09,26.69,72.54,20.33,0
2009-02-10,26.59,74.53,19.01,0
2009-02-11,25.47,72.05,8.58,0
2009-02-12,25.77,70.9,13.38,21.33
2009-02-13,26.68,71.88,22.27,0
2009-02-14,26.73,74.15,18.18,0
2009-02-15,26.44,71.32,14.47,0
2009-02-16,26.55,71.45,21.16,0
2009-02-17,26.14,71.98,23.81,0
2009-02-18,25.59,71.17,16.91,0
2009-02-19,25.42,75.28,10.97,0
2009-02-20,25.36,72.71,18.22,0
2009-02-21,26.93,68.96,21.46,0
2009-02-22,26.62,69.03,22.51,0
2009-02-23,26.88,67.58,24.65,0
2009-02-24,26.37,74.19,21.72,0
2009-02-25,27.39,77.59,23.13,0
2009-02-26,27.58,72.68,23,0
2009-02-27,26.99,70.32,24.78,0
2009-02-28,26.2,73.48,20.25,3.56
2009-03-01,26.49,73.48,12.1,0
2009-03-02,26.43,87.84,15.61,0
2009-03-03,26.23,87.31,12.6,1.83
2009-03-04,25.17,84.89,15.06,0
2009-03-05,26.12,83.35,19.93,0
2009-03-06,26.08,77.76,17.81,0
2009-03-07,26.12,76.35,19.26,0
2009-03-08,26.12,78.24,17.86,0
2009-03-09,26.42,82.04,15.56,0
2009-03-10,26.72,77.64,19.63,0
2009-03-11,26.66,73.35,18.48,0
2009-03-12,26.69,74.11,18,0
2009-03-13,26.6,75.56,19.69,0
2009-03-14,25.53,78.72,18.85,0
2009-03-15,25.24,84.37,8.07,17.89
2009-03-16,25.51,86.03,14.18,0
2009-03-17,24.96,83.73,11.75,0
2009-03-18,26.59,81.64,14.34,0
2009-03-19,24.67,77.44,10.37,0
2009-03-20,25.5,85.28,16.88,48.96
2009-03-21,24.56,83.62,12.09,11.15
2009-03-22,24.66,86.24,15.99,5.58
2009-03-23,24.6,83.1,17.38,16.73
2009-03-24,24.71,87.46,11.68,5.58
2009-03-25,24.62,87.07,15.39,5.58
2009-03-26,24.21,83.28,14.83,0
2009-03-27,24.33,84.42,15.26,12.05
2009-03-28,24.96,83.24,18.6,0
2009-03-29,24.21,85.1,8.29,36.15
2009-03-30,25.39,83.93,22.08,0
2009-03-31,25.04,89.32,10.87,17.86
2009-04-01,25.29,83.76,15.78,0
2009-04-02,24.48,85.88,10.46,43.77
2009-04-03,25.28,85.35,20.02,0
2009-04-04,25.81,81.62,16.47,0
2009-04-05,26.1,82.73,23.33,0
2009-04-06,26.22,81.15,22.02,0
2009-04-07,24.68,87.33,17.88,0
2009-04-08,25.1,87.72,8.42,72.16
2009-04-09,24.82,87.23,14.1,0
2009-04-10,24.73,86,17.02,32.07
2009-04-11,24.46,83.93,17.74,6.74
2009-04-12,24.48,86.38,8.08,22.37
2009-04-13,24.44,85.34,11.26,7.46
2009-04-14,25.46,85.75,9.88,0
2009-04-15,24.79,87.1,12.59,0
2009-04-16,24.99,86.64,13.63,0
2009-04-17,25.17,86.95,12.54,0
2009-04-18,25.27,86.62,15.5,0
2009-04-19,25.42,88.5,15.7,58.12
2009-04-20,25.06,86.21,10.44,15.27
2009-04-21,25.52,83.63,16.19,0
2009-04-22,25.19,87,14.9,14.94
2009-04-23,24.6,89.65,15.06,14.94
2009-04-24,25.13,85.15,18.88,0
2009-04-25,25,84.42,16.7,0
2009-04-26,25.39,85.73,18.45,0
2009-04-27,24.95,90.25,13.34,5.34
2009-04-28,25.32,85.09,9.08,8.93
2009-04-29,24.82,88.53,19.19,0
2009-04-30,24.83,86.88,6.26,35
2009-05-01,24.34,87.25,15.18,0
2009-05-02,24.7,85.23,20.06,23.33
2009-05-03,24.81,87.96,17.11,19.53
2009-05-04,24.67,90.95,12.95,19.53
2009-05-05,24.85,88.81,17.48,9.77
2009-05-06,24.66,90.44,15.73,0
2009-05-07,25.11,87.87,19.18,30.38
2009-05-08,25.13,91.9,19.92,0
2009-05-09,24.79,89.85,18.84,30.38
2009-05-10,25.04,88.17,17.1,0
2009-05-11,24.53,87.01,17.37,0
2009-05-12,24.41,88.55,13.44,46.64
2009-05-13,24.75,89.5,14.44,17.34
2009-05-14,24.8,89.83,12.79,17.17
2009-05-15,24.75,89.58,17.42,0
2009-05-16,24.83,90.08,20.11,0
2009-05-17,24.61,87.75,12.46,28.52
2009-05-18,24.4,89.66,16.88,12.5
2009-05-19,24.51,89.53,14.71,25
2009-05-20,25.04,89.01,18.98,0
2009-05-21,24.57,88.31,17.58,0
2009-05-22,24.51,88.87,14.54,16.23
2009-05-23,25.19,89.23,20.74,0
2009-05-24,24.82,87.82,18.21,0
2009-05-25,25.24,88.14,22.31,0
2009-05-26,25.22,88.5,21.66,0
2009-05-27,25.42,88.54,17.21,0
2009-05-28,24.24,89.29,7.09,85.08
2009-05-29,24.45,90.51,13.5,0
2009-05-30,25.14,88.27,22.19,0
2009-05-31,25.44,89.49,20.98,0
2009-06-01,25.15,88.47,23.44,0
2009-06-02,25.35,87.99,22.03,0
2009-06-03,24.52,88.66,7.43,66.09
2009-06-04,23.97,89.68,8.97,0
2009-06-05,24.28,88.48,10.18,0
2009-06-06,24.35,89.8,14.82,0
2009-06-07,24.34,88.86,15.96,0
2009-06-08,24.31,88.95,17.5,28.76
2009-06-09,24.55,89.31,17.47,0
2009-06-10,24.2,88.02,12.18,28.76
2009-06-11,24.31,88.75,19.24,0
2009-06-12,24.02,90.38,14.81,29.56
2009-06-13,24.06,89.25,11.84,29.56
2009-06-14,23.73,88.23,20.22,15.5
2009-06-15,23.93,89.06,21.03,1.53
2009-06-16,23.87,88.62,16.7,29.23
2009-06-17,23.78,88.4,18.45,29.23
2009-06-18,23.93,88.81,17.74,9.74
2009-06-19,23.84,88.91,17.79,0
2009-06-20,23.82,89.64,18.68,9.74
2009-06-21,24.25,89.3,11.03,5.78
2009-06-22,23.8,89.64,20.24,0
2009-06-23,24.28,89.34,7.64,31.85
2009-06-24,24.04,89.6,21.03,0
2009-06-25,24.12,90.59,10.36,31.85
2009-06-26,23.93,90.02,18.16,0
2009-06-27,24.1,87.67,17.72,27.45
2009-06-28,24.03,88.2,16.26,0
2009-06-29,23.98,89.46,17.36,0
2009-06-30,23.63,89.48,15.66,33.8
2009-07-01,24.29,93.92,6.94,121.22
2009-07-02,23.84,91.79,14.7,0
2009-07-03,24.28,91.21,10.31,0
2009-07-04,23.68,88.84,9.38,0
2009-07-05,23.55,88.56,20.18,0
2009-07-06,23.54,89.9,14.71,57.66
2009-07-07,23.55,88.81,19.97,0
2009-07-08,23.57,92.24,11.99,20.42
2009-07-09,23.85,88.28,15.86,0
2009-07-10,23.7,89.78,16.14,0
2009-07-11,23.61,88.67,14.21,0
2009-07-12,24.56,90.03,16.04,0
2009-07-13,23.6,90.08,21.29,0
