Date,temperature (degC),humidity (%),solar (MJ/m2/day),precip (mm/day)
2008-08-23,27.27,85.94,18.52,7.76
2008-08-24,27.34,86.42,15.29,19.75
2008-08-25,27.81,90.28,20.51,0
2008-08-26,28.12,89.78,16.36,3.78
2008-08-27,27.39,87.73,20.72,13.63
2008-08-28,27.91,89.48,17.96,14.57
2008-08-29,27.38,87.67,20.63,1.47
2008-08-30,28.31,88.06,18.73,13.1
2008-08-31,28.07,86.2,22.91,0
2008-09-01,28.17,87.96,18.45,12.2
2008-09-02,27.36,86.22,16.89,10.27
2008-09-03,26.73,86.06,20.62,3.53
2008-09-04,26.61,86.18,14.28,24.71
2008-09-05,27.85,85.89,25.36,0
2008-09-06,28.16,86.56,25.07,0
2008-09-07,28.51,85.33,22.76,5.1
2008-09-08,28.08,85.57,19.7,15.31
2008-09-09,27.85,86.64,23.69,10.21
2008-09-10,28.9,86.79,24.85,0
2008-09-11,29.06,84.39,22.32,0
2008-09-12,29.03,84.27,18.81,4.02
2008-09-13,29.04,84.92,23.62,0
2008-09-14,28.85,83.99,19.24,0
2008-09-15,29.02,86.47,16.11,12.06
2008-09-16,27.54,88.13,16.07,11.07
2008-09-17,27.73,87.46,8.83,13.79
2008-09-18,27.54,89.2,19.75,0
2008-09-19,27.63,87.92,19.67,12.14
2008-09-20,27.56,87.43,16.56,9.34
2008-09-21,27.44,88.58,20.9,7.7
2008-09-22,27.92,88.48,19.29,5.77
2008-09-23,27.37,88.22,17.91,16.91
2008-09-24,26.89,88.53,18.72,5.77
2008-09-25,27.92,88.68,20.66,9.9
2008-09-26,27.92,88.95,20.21,14.22
2008-09-27,27.55,88.03,21.29,16.25
2008-09-28,27.35,86.96,19.65,12.64
2008-09-29,27.33,87,17.58,7.11
2008-09-30,27.37,88.5,19.82,0
2008-10-01,27.64,90.38,17.92,13.89
2008-10-02,27.86,88.87,19.3,0
2008-10-03,27.78,88.62,16.21,11.65
2008-10-04,27.35,88.38,16.66,1.42
2008-10-05,26.97,86.49,16.59,0
2008-10-06,26.99,87.12,20.55,5.95
2008-10-07,27,87.45,19.59,7.88
2008-10-08,27.02,84.82,20.56,15.41
2008-10-09,27.4,89.83,18.04,12.73
2008-10-10,27.05,88.77,7.74,11.3
2008-10-11,27.1,88.99,20.17,3.9
2008-10-12,27.07,88.87,13.07,9.57
2008-10-13,27.16,89.56,19.03,8.02
2008-10-14,27.06,87.1,14.5,15.73
2008-10-15,26.55,88.09,20.07,0
2008-10-16,27.03,88.49,18.66,9.56
2008-10-17,26.98,87.48,20.66,14.34
2008-10-18,27.46,90.69,22.03,0
2008-10-19,27.57,90.62,19.64,5.07
2008-10-20,27.5,90.64,15.23,26.8
2008-10-21,27.74,90.85,19.14,0
2008-10-22,27.46,90.72,19.58,0
2008-10-23,27.8,90.35,21.26,0
2008-10-24,27.81,89.02,21.97,0
2008-10-25,27.33,88.53,16.06,3.06
2008-10-26,27.31,89.58,20.3,0
2008-10-27,27.41,90.71,15.58,0
2008-10-28,27.37,88.01,17.15,0
2008-10-29,27.33,90.33,18.01,1.48
2008-10-30,27.34,90.39,19.83,0
2008-10-31,27.33,90.52,20.43,0
2008-11-01,27.08,87.2,14.33,23.98
2008-11-02,26.66,89.83,16.56,18.73
2008-11-03,27.15,90.84,17.53,6.85
2008-11-04,27.08,89.34,14.1,9.71
2008-11-05,27.04,87.57,16.68,0
2008-11-06,27.02,87.48,17.21,6.18
2008-11-07,27.38,89.85,18.89,4.82
2008-11-08,27.27,90.67,16.13,11
2008-11-09,27.04,90.58,17.97,6.18
2008-11-10,27.33,89.81,18.83,0
2008-11-11,27.42,90.61,17.94,0
2008-11-12,27.33,90.12,17.87,0
2008-11-13,27.31,89.18,17.47,18.18
2008-11-14,27.25,88.28,16.78,6.05
2008-11-15,27.09,86.66,17.21,0
