RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           roots_specific_maintenance                     25.9176417523348 0.258430030783851
2           trunk_conversion_efficiency                    16.4049903380232 0.163577465827199
3           roots_loss_param                               13.9413282933908 0.139011794917807
4           roots_conversion_efficiency                    11.7529530017334 0.117191063718808
5           trunk_specific_maintenance                     10.73407719815 0.10703164768084
6           trunk_lignification_rate                       2.96951751239767 0.0296096577564963
7           trunk_density_b                                1.95447281704006 0.0194884424709806
8           trunk_density_a                                1.13921755956579 0.0113593679471848
9           mesocarp_oil_specific_maintenance              0.503349861678989 0.00501900294370069
10          mesocarp_oil_t_growth_start                    0.503349861678989 0.00501900294370069
11          mesocarp_oil_t_growth_end                      0.503349861678989 0.00501900294370069
12          mesocarp_oil_potential_mass_fraction           0.488801662600865 0.00487393991784608
13          mesocarp_fibers_t_growth_end                   0.473137174059896 0.00471774614471891
14          mesocarp_oil_conversion_efficiency             0.469868202769874 0.00468515057297728
15          mesocarp_fibers_potential_mass_fraction        0.455729675118697 0.00454417246350855
16          mesocarp_fibers_specific_maintenance           0.453252622596495 0.00451947327344786
17          mesocarp_fibers_t_growth_start                 0.453252622596495 0.00451947327344786
18          stalk_t_growth_end                             0.43922172559473 0.00437956837088223
19          mesocarp_fibers_conversion_efficiency          0.436495352887808 0.00435238315899795
20          stalk_conversion_efficiency                    0.403288958535319 0.00402127550666066
21          stalk_potential_mass_fraction                  0.403288958535319 0.00402127550666066
22          stalk_specific_maintenance                     0.403288958535319 0.00402127550666066
23          stalk_t_growth_start                           0.403288958535319 0.00402127550666066
24          female_stress_inflorescence_abortion_asymptote 0.386417591807332 0.0038530477078299
25          female_stress_inflorescence_abortion_increase  0.386417591807332 0.0038530477078299
26          female_stress_inflorescence_abortion_x0        0.386417591807332 0.0038530477078299
27          female_stress_bunch_failure_x0                 0.380112098994285 0.00379017436783414
28          female_stress_inflorescence_abortion           0.369806312405506 0.00368741329216065
29          female_stress_bunch_failure                    0.369806312405506 0.00368741329216065
30          female_stress_bunch_failure_asymptote          0.359433173967651 0.00358398063762222
31          female_stress_bunch_failure_increase           0.336299143389562 0.00335330655501934
32          female_inflorescence_abortion_dt               0.325299633036989 0.0032436282198457
33          female_bunch_failure_t0                        0.319320562864248 0.00318400970580166
34          female_bunch_failure_dt                        0.319320562864248 0.00318400970580166
35          female_t_anthesis                              0.319320562864248 0.00318400970580166
36          male_t_anthesis                                0.286082663526037 0.00285258791090048
37          female_inflorescence_abortion_t0               0.286082663526037 0.00285258791090048
38          indeterminate_potential_mass_b                 0.269490974064814 0.00268714883047821
39          indeterminate_t_differentiation                0.269490974064814 0.00268714883047821
40          indeterminate_bunch_FM_to_DM_ratio             0.269490974064814 0.00268714883047821
41          soil_relative_evapotranspiration_a             0.252698241390366 0.00251970510764755
42          soil_relative_evapotranspiration_b             0.252698241390366 0.00251970510764755
43          indeterminate_abortion_fraction                0.252698241390366 0.00251970510764755
44          indeterminate_potential_mass_a                 0.252698241390366 0.00251970510764755
45          assimilates_vegetative_priority                0.235771894012166 0.00235092908566968
46          soil_default_water_holding_capacity            0.235771894012166 0.00235092908566968
47          trunk_mass_loss_rate                           0.1898515952028 0.00189304852893118
48          fronds_specific_maintenance_leaflets           0.135117142163822 0.00134728026347832
49          fronds_specific_maintenance_rachis             0.135117142163822 0.00134728026347832
50          fronds_time_mature_canopy                      0.135117142163822 0.00134728026347832
51          fronds_specific_leaf_area                      0.118974422357435 0.00118631794999454
52          fronds_leaf_area_c                             0.101632879485987 0.0010134019300521
53          fronds_potential_growth_rate                   0.101632879485987 0.0010134019300521
54          fronds_initiation_rate_max                     0.0951029381373391 0.000948290568460116
55          fronds_k                                       0.0845854129835998 0.00084341820486994
56          fronds_leaf_area_a                             0.0845854129835998 0.00084341820486994
57          fronds_leaf_area_b                             0.0845854129835998 0.00084341820486994
58          fronds_initiation_rate_a                       0.0540285721339124 0.000538729784646269
59          fronds_initiation_rate_b                       0.0508593006308388 0.000507128339579304
60          fronds_initiation_rate_c                       0.0508593006308388 0.000507128339579304
61          fronds_fronds_goal_count_t1                    0.0373652593992063 0.000372576534125199
62          fronds_fronds_goal_count_t0                    0.0338075158126625 0.000337101555599858
63          fronds_initial_light_efficiency                0.0338075158126625 0.000337101555599858
64          fronds_fraction_leaflets                       0.0168384380603255 0.00016789946044724
65          fronds_fraction_rachis                         0.0168384380603255 0.00016789946044724
67          fronds_asymptotic_photosynthesis_rate          0 0
67          fronds_conversion_efficiency                   0 0
