RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           roots_specific_maintenance                     16.1154955311905 0.313028642882077
2           trunk_conversion_efficiency                    11.5428660321555 0.22420953063603
3           roots_conversion_efficiency                    8.73786979161821 0.169725064752538
4           roots_loss_param                               7.88941475635427 0.15324460793251
5           trunk_specific_maintenance                     5.00254168714379 0.097169760139045
6           trunk_lignification_rate                       1.09701157593821 0.0213084384639147
7           trunk_density_b                                0.762563485616623 0.0148120926565367
8           trunk_density_a                                0.334732105344581 0.00650186253734971
67          fronds_asymptotic_photosynthesis_rate          0 0
67          fronds_conversion_efficiency                   0 0
67          fronds_fraction_leaflets                       0 0
67          fronds_fraction_rachis                         0 0
67          fronds_fronds_goal_count_t1                    0 0
67          fronds_fronds_goal_count_t0                    0 0
67          fronds_initial_light_efficiency                0 0
67          fronds_initiation_rate_a                       0 0
67          fronds_initiation_rate_b                       0 0
67          fronds_initiation_rate_c                       0 0
67          fronds_initiation_rate_max                     0 0
67          fronds_k                                       0 0
67          fronds_leaf_area_a                             0 0
67          fronds_leaf_area_b                             0 0
67          fronds_leaf_area_c                             0 0
67          fronds_potential_growth_rate                   0 0
67          fronds_specific_leaf_area                      0 0
67          fronds_specific_maintenance_leaflets           0 0
67          fronds_specific_maintenance_rachis             0 0
67          fronds_time_mature_canopy                      0 0
67          trunk_mass_loss_rate                           0 0
67          assimilates_vegetative_priority                0 0
67          soil_default_water_holding_capacity            0 0
67          soil_relative_evapotranspiration_a             0 0
67          soil_relative_evapotranspiration_b             0 0
67          indeterminate_abortion_fraction                0 0
67          indeterminate_potential_mass_a                 0 0
67          indeterminate_potential_mass_b                 0 0
67          indeterminate_t_differentiation                0 0
67          indeterminate_bunch_FM_to_DM_ratio             0 0
67          male_t_anthesis                                0 0
67          female_inflorescence_abortion_t0               0 0
67          female_inflorescence_abortion_dt               0 0
67          female_bunch_failure_t0                        0 0
67          female_bunch_failure_dt                        0 0
67          female_t_anthesis                              0 0
67          female_stress_bunch_failure_asymptote          0 0
67          female_stress_bunch_failure_increase           0 0
67          female_stress_bunch_failure_x0                 0 0
67          female_stress_inflorescence_abortion           0 0
67          female_stress_bunch_failure                    0 0
67          female_stress_inflorescence_abortion_asymptote 0 0
67          female_stress_inflorescence_abortion_increase  0 0
67          female_stress_inflorescence_abortion_x0        0 0
67          stalk_conversion_efficiency                    0 0
67          stalk_potential_mass_fraction                  0 0
67          stalk_specific_maintenance                     0 0
67          stalk_t_growth_start                           0 0
67          stalk_t_growth_end                             0 0
67          mesocarp_fibers_conversion_efficiency          0 0
67          mesocarp_fibers_potential_mass_fraction        0 0
67          mesocarp_fibers_specific_maintenance           0 0
67          mesocarp_fibers_t_growth_start                 0 0
67          mesocarp_fibers_t_growth_end                   0 0
67          mesocarp_oil_conversion_efficiency             0 0
67          mesocarp_oil_potential_mass_fraction           0 0
67          mesocarp_oil_specific_maintenance              0 0
67          mesocarp_oil_t_growth_start                    0 0
67          mesocarp_oil_t_growth_end                      0 0
