RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           roots_specific_maintenance                     3.87535817632111 0.272040257024515
2           trunk_conversion_efficiency                    2.3805406522218 0.167107880464999
3           roots_loss_param                               2.05834449829481 0.144490532457746
4           roots_conversion_efficiency                    1.68410750857782 0.118220050546487
5           trunk_specific_maintenance                     1.61694390006968 0.113505336579431
6           trunk_lignification_rate                       0.453932480597941 0.031864902049097
7           trunk_density_b                                0.295800763860398 0.0207644589654473
8           trunk_density_a                                0.168138000699677 0.0118028586893998
9           mesocarp_oil_specific_maintenance              0.0547718192148067 0.00384484197304338
10          mesocarp_oil_t_growth_start                    0.0545735637849338 0.00383092494766269
11          mesocarp_oil_t_growth_end                      0.0545735637849338 0.00383092494766269
12          mesocarp_fibers_t_growth_start                 0.0515410971236444 0.00361805352457824
13          mesocarp_fibers_t_growth_end                   0.050980774380269 0.00357872029750883
14          mesocarp_oil_conversion_efficiency             0.050980774380269 0.00357872029750883
15          mesocarp_oil_potential_mass_fraction           0.050980774380269 0.00357872029750883
16          mesocarp_fibers_potential_mass_fraction        0.0496559482944202 0.00348572088622623
17          mesocarp_fibers_specific_maintenance           0.0491315335669313 0.00344890831026223
18          stalk_t_growth_end                             0.0473028510047961 0.00332053945980109
19          mesocarp_fibers_conversion_efficiency          0.0473028510047961 0.00332053945980109
20          stalk_conversion_efficiency                    0.0454880529642693 0.00319314526733417
21          stalk_potential_mass_fraction                  0.0454880529642693 0.00319314526733417
22          stalk_specific_maintenance                     0.0454880529642693 0.00319314526733417
23          stalk_t_growth_start                           0.0454880529642693 0.00319314526733417
24          female_stress_inflorescence_abortion_asymptote 0.04361601449469 0.00306173294278161
25          female_stress_inflorescence_abortion_increase  0.04361601449469 0.00306173294278161
26          female_stress_inflorescence_abortion_x0        0.04361601449469 0.00306173294278161
27          female_stress_bunch_failure_x0                 0.0402157936605557 0.00282304611499113
28          female_stress_inflorescence_abortion           0.0399706564880645 0.00280583811088502
29          female_stress_bunch_failure                    0.0399706564880645 0.00280583811088502
30          female_t_anthesis                              0.0366667707899233 0.00257391376386759
31          female_stress_bunch_failure_asymptote          0.0362344710192287 0.00254356742286356
32          female_stress_bunch_failure_increase           0.0362344710192287 0.00254356742286356
33          female_inflorescence_abortion_t0               0.0345306899641913 0.00242396633954747
34          female_inflorescence_abortion_dt               0.0344128594993035 0.00241569494152566
35          female_bunch_failure_t0                        0.0344128594993035 0.00241569494152566
36          female_bunch_failure_dt                        0.0344128594993035 0.00241569494152566
37          male_t_anthesis                                0.0325968629098652 0.00228821661398294
38          indeterminate_potential_mass_b                 0.0307714899460266 0.00216008008887866
39          indeterminate_t_differentiation                0.0307714899460266 0.00216008008887866
40          indeterminate_bunch_FM_to_DM_ratio             0.0307714899460266 0.00216008008887866
41          indeterminate_abortion_fraction                0.028922651394146 0.00203029633936009
42          indeterminate_potential_mass_a                 0.028922651394146 0.00203029633936009
43          soil_relative_evapotranspiration_a             0.0270343569698161 0.00189774288825681
44          soil_relative_evapotranspiration_b             0.0270343569698161 0.00189774288825681
45          assimilates_vegetative_priority                0.025618671082401 0.00179836535070905
46          soil_default_water_holding_capacity            0.0251561616227194 0.00176589836661017
47          trunk_mass_loss_rate                           0.0215921889369659 0.00151571657660563
48          fronds_specific_maintenance_leaflets           0.0171824908442093 0.00120616702067457
49          fronds_specific_maintenance_rachis             0.015874838972375 0.00111437319540031
50          fronds_time_mature_canopy                      0.015874838972375 0.00111437319540031
51          fronds_leaf_area_c                             0.0123870263402996 0.000869537646861708
52          fronds_potential_growth_rate                   0.012176123279236 0.000854732790038523
53          fronds_specific_leaf_area                      0.012176123279236 0.000854732790038523
54          fronds_initiation_rate_max                     0.00842555391767989 0.000591452389444795
55          fronds_k                                       0.00842555391767989 0.000591452389444795
56          fronds_leaf_area_a                             0.00842555391767989 0.000591452389444795
57          fronds_leaf_area_b                             0.00842555391767989 0.000591452389444795
58          fronds_initiation_rate_a                       0.00747136618519378 0.000524470844982348
59          fronds_initiation_rate_b                       0.00653694177523338 0.000458876635340306
60          fronds_initiation_rate_c                       0.00653694177523338 0.000458876635340306
61          fronds_fronds_goal_count_t1                    0.00510369949590072 0.000358266683870429
62          fronds_fronds_goal_count_t0                    0.00464172141985013 0.000325837001546769
63          fronds_initial_light_efficiency                0.00464172141985013 0.000325837001546769
64          fronds_fraction_leaflets                       0.00275811764078092 0.00019361282177385
65          fronds_fraction_rachis                         0.00275811764078092 0.00019361282177385
66          fronds_asymptotic_photosynthesis_rate          0.000846715536675199 5.94372705034543e-05
67          fronds_conversion_efficiency                   0.000846715536675199 5.94372705034543e-05
