RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           trunk_conversion_efficiency                    1.6885284663112 0.122030377171197
2           roots_conversion_efficiency                    1.38506752040345 0.100099178245809
3           roots_specific_maintenance                     1.36103612398105 0.0983624231789653
4           roots_loss_param                               1.07442892178744 0.0776492485529703
5           trunk_specific_maintenance                     0.544657920073342 0.0393625649445106
6           mesocarp_oil_t_growth_end                      0.239741181904428 0.0173261555460646
7           mesocarp_oil_specific_maintenance              0.232932337645767 0.0168340786580751
8           mesocarp_oil_t_growth_start                    0.232932337645767 0.0168340786580751
9           mesocarp_oil_potential_mass_fraction           0.223872444760423 0.0161793179193683
10          mesocarp_fibers_specific_maintenance           0.216815953632568 0.0156693435298228
11          mesocarp_fibers_t_growth_start                 0.216815953632568 0.0156693435298228
12          mesocarp_fibers_t_growth_end                   0.216815953632568 0.0156693435298228
13          mesocarp_oil_conversion_efficiency             0.216815953632568 0.0156693435298228
14          mesocarp_fibers_potential_mass_fraction        0.216700934766699 0.0156610310874424
15          stalk_t_growth_end                             0.20879495303009 0.0150896637978316
16          mesocarp_fibers_conversion_efficiency          0.20879495303009 0.0150896637978316
17          trunk_lignification_rate                       0.206556895714447 0.0149279188324326
18          stalk_potential_mass_fraction                  0.200683979193178 0.0145034816775465
19          stalk_specific_maintenance                     0.200683979193178 0.0145034816775465
20          stalk_t_growth_start                           0.200683979193178 0.0145034816775465
21          stalk_conversion_efficiency                    0.193683247588364 0.0139975370427628
22          female_stress_inflorescence_abortion_asymptote 0.184562211232367 0.0133383574500454
23          female_stress_inflorescence_abortion_increase  0.184562211232367 0.0133383574500454
24          female_stress_inflorescence_abortion_x0        0.184562211232367 0.0133383574500454
25          female_stress_bunch_failure_x0                 0.176533257452343 0.0127581029399116
26          female_stress_inflorescence_abortion           0.176533257452343 0.0127581029399116
27          female_stress_bunch_failure                    0.176533257452343 0.0127581029399116
28          female_stress_bunch_failure_increase           0.16335438920053 0.0118056628149479
29          trunk_density_b                                0.159193687860668 0.0115049678820936
30          female_stress_bunch_failure_asymptote          0.157436662396142 0.0113779872096245
31          female_t_anthesis                              0.152459822054312 0.01101830970572
32          female_bunch_failure_dt                        0.146519528676661 0.0105890032084681
33          male_t_anthesis                                0.144377155338857 0.010434173348226
34          female_inflorescence_abortion_t0               0.144377155338857 0.010434173348226
35          female_inflorescence_abortion_dt               0.144377155338857 0.010434173348226
36          female_bunch_failure_t0                        0.144377155338857 0.010434173348226
37          indeterminate_bunch_FM_to_DM_ratio             0.134465631584472 0.0097178650323045
38          indeterminate_potential_mass_b                 0.128228741524003 0.00926712341814795
39          indeterminate_t_differentiation                0.128228741524003 0.00926712341814795
40          soil_relative_evapotranspiration_a             0.12019875026743 0.0086867939293229
41          soil_relative_evapotranspiration_b             0.12019875026743 0.0086867939293229
42          indeterminate_abortion_fraction                0.12019875026743 0.0086867939293229
43          indeterminate_potential_mass_a                 0.12019875026743 0.0086867939293229
44          trunk_density_a                                0.119447071905461 0.00863246994494676
45          soil_default_water_holding_capacity            0.10981902227211 0.00793664837508742
46          assimilates_vegetative_priority                0.10423058791401 0.00753277081772221
47          trunk_mass_loss_rate                           0.096030883990898 0.00694017615177887
48          fronds_specific_maintenance_leaflets           0.0640275879796603 0.00462728989555568
49          fronds_specific_maintenance_rachis             0.0640275879796603 0.00462728989555568
50          fronds_time_mature_canopy                      0.0640275879796603 0.00462728989555568
51          fronds_specific_leaf_area                      0.0559353989673255 0.00404246535926987
52          fronds_potential_growth_rate                   0.0547572084795611 0.00395731723623259
53          fronds_leaf_area_c                             0.0479234856143235 0.00346344236508507
54          fronds_leaf_area_b                             0.038805935875207 0.00280451475104715
55          fronds_initiation_rate_max                     0.0319618698927922 0.00230989238021843
56          fronds_k                                       0.0319618698927922 0.00230989238021843
57          fronds_leaf_area_a                             0.0319618698927922 0.00230989238021843
58          fronds_initiation_rate_c                       0.0239533067891754 0.00173111150939977
59          fronds_initiation_rate_b                       0.0233554108767075 0.0016879014213478
60          fronds_fronds_goal_count_t0                    0.0159771675602579 0.00115467392016496
61          fronds_initial_light_efficiency                0.0159771675602579 0.00115467392016496
62          fronds_initiation_rate_a                       0.0159771675602579 0.00115467392016496
63          fronds_fronds_goal_count_t1                    0.0122970094784324 0.000888707969495566
64          fronds_fraction_leaflets                       0.0079877676477626 0.000577277977990988
65          fronds_fraction_rachis                         0.0079877676477626 0.000577277977990988
67          fronds_asymptotic_photosynthesis_rate          0 0
67          fronds_conversion_efficiency                   0 0
