RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           roots_specific_maintenance                     14.1109800271855 0.30268990914633
2           trunk_conversion_efficiency                    10.1446798156994 0.217610130963039
3           roots_conversion_efficiency                    8.08032469414681 0.173328340259297
4           roots_loss_param                               6.8214281192088 0.146324171225077
5           trunk_specific_maintenance                     4.0678715223005 0.0872585503722574
6           trunk_lignification_rate                       0.843122918755696 0.0180855475087971
7           trunk_density_b                                0.595474866592139 0.01277333203792
8           trunk_density_a                                0.249623311020207 0.00535458608742594
9           mesocarp_oil_t_growth_end                      0.0567428935342993 0.00121717281546055
10          mesocarp_oil_potential_mass_fraction           0.0538563066417194 0.00115525360626497
11          mesocarp_oil_t_growth_start                    0.0537621137948978 0.00115323310703729
12          mesocarp_oil_specific_maintenance              0.053761624978805 0.00115322262160691
13          mesocarp_oil_conversion_efficiency             0.0526758963911316 0.00112993302110239
14          stalk_specific_maintenance                     0.0498682510797363 0.00106970716134041
15          mesocarp_fibers_t_growth_start                 0.0494592060483592 0.00106093287329339
16          mesocarp_fibers_t_growth_end                   0.0489675415003213 0.00105038634164999
17          mesocarp_fibers_conversion_efficiency          0.0487474702265738 0.00104566566642204
18          mesocarp_fibers_potential_mass_fraction        0.0478333151843342 0.00102605643260922
19          mesocarp_fibers_specific_maintenance           0.0478333151843342 0.00102605643260922
20          stalk_t_growth_end                             0.0477797334033309 0.00102490706776053
21          stalk_t_growth_start                           0.0462642201165854 0.000992398299539524
22          stalk_potential_mass_fraction                  0.0441075610681926 0.000946136528198342
23          stalk_conversion_efficiency                    0.0433448593188451 0.000929776068274866
24          female_stress_inflorescence_abortion_increase  0.0428342674709912 0.000918823533458716
25          female_stress_bunch_failure_x0                 0.0426318552143141 0.000914481655894886
26          female_stress_inflorescence_abortion_x0        0.042224958000093 0.000905753439954732
27          female_stress_inflorescence_abortion_asymptote 0.0415239370121124 0.000890716073396723
28          female_t_anthesis                              0.0408409914998805 0.000876066437818535
29          female_stress_inflorescence_abortion           0.040728410217046 0.000873651494405173
30          female_stress_bunch_failure                    0.040728410217046 0.000873651494405173
31          female_bunch_failure_dt                        0.038568416296871 0.000827318187845683
32          female_stress_bunch_failure_increase           0.0379659426298745 0.000814394726883023
33          female_stress_bunch_failure_asymptote          0.0375995767893537 0.000806535935872907
34          female_inflorescence_abortion_dt               0.0340388751573472 0.000730156517050627
35          female_bunch_failure_t0                        0.0340388751573472 0.000730156517050627
36          female_inflorescence_abortion_t0               0.0324377812155637 0.000695811986845104
37          male_t_anthesis                                0.0308123192018754 0.00066094474528596
38          indeterminate_potential_mass_b                 0.0303239724952412 0.000650469383547921
39          indeterminate_bunch_FM_to_DM_ratio             0.0298613772108097 0.000640546406947691
40          indeterminate_t_differentiation                0.0290664963951483 0.000623495684644124
41          indeterminate_abortion_fraction                0.0287629501756416 0.000616984416296556
42          indeterminate_potential_mass_a                 0.0278822589763991 0.000598093004178396
43          soil_default_water_holding_capacity            0.0270317147323692 0.000579848264305307
44          soil_relative_evapotranspiration_a             0.0254377295267052 0.000545656221218754
45          soil_relative_evapotranspiration_b             0.0254377295267052 0.000545656221218754
46          assimilates_vegetative_priority                0.0224900749188938 0.000482427068905145
47          trunk_mass_loss_rate                           0.0196902104525683 0.000422368113446249
48          fronds_specific_maintenance_rachis             0.0191262117097976 0.000410269965204312
49          fronds_time_mature_canopy                      0.0151084719074366 0.000324086773575712
50          fronds_specific_leaf_area                      0.014441194949018 0.000309773238900585
51          fronds_specific_maintenance_leaflets           0.0136545482240292 0.000292899143319811
52          fronds_leaf_area_a                             0.0119107292375241 0.000255493065954811
53          fronds_potential_growth_rate                   0.0115890954352773 0.000248593806924401
54          fronds_leaf_area_c                             0.0110640990736907 0.000237332285705843
55          fronds_leaf_area_b                             0.00937532873771953 0.000201107038516822
56          fronds_initiation_rate_c                       0.00830006961433756 0.000178042014986336
57          fronds_k                                       0.0082607532043009 0.000177198651835157
58          fronds_initiation_rate_max                     0.00709742026179185 0.000152244386291828
59          fronds_fraction_leaflets                       0.00515484380957949 0.000110574829060711
60          fronds_initiation_rate_b                       0.00481254740701057 0.000103232343507256
61          fronds_fronds_goal_count_t0                    0.00375219542564754 8.04870880902993e-05
62          fronds_initial_light_efficiency                0.00375219542564754 8.04870880902993e-05
63          fronds_initiation_rate_a                       0.00375219542564754 8.04870880902993e-05
64          fronds_fraction_rachis                         0.00299007084770263 6.41390088773814e-05
65          fronds_fronds_goal_count_t1                    0.00299007084770263 6.41390088773814e-05
67          fronds_asymptotic_photosynthesis_rate          0 0
67          fronds_conversion_efficiency                   0 0
