RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           roots_specific_maintenance                     14.1063793659106 0.310998429398194
2           trunk_conversion_efficiency                    10.187416015231 0.224598410278066
3           roots_conversion_efficiency                    8.10180364289124 0.178617641201449
4           roots_loss_param                               6.82832763686719 0.150541759539932
5           trunk_specific_maintenance                     4.06934469942674 0.0897154243036966
6           trunk_lignification_rate                       0.851446147698601 0.0187715364646521
7           trunk_density_b                                0.601471067987944 0.0132604230058313
8           trunk_density_a                                0.252428042600342 0.00556519307672107
9           mesocarp_oil_specific_maintenance              0.0114269579926139 0.000251926160237124
10          mesocarp_oil_t_growth_start                    0.0114269579926139 0.000251926160237124
11          mesocarp_oil_t_growth_end                      0.0114269579926139 0.000251926160237124
12          mesocarp_oil_potential_mass_fraction           0.0100590972667957 0.000221769411554117
13          female_stress_bunch_failure_asymptote          0.00957107668892769 0.000211010191963175
14          female_stress_bunch_failure_increase           0.00886067130304445 0.000195348132017473
15          female_stress_bunch_failure_x0                 0.00886067130304445 0.000195348132017473
16          female_stress_inflorescence_abortion           0.00886067130304445 0.000195348132017473
17          female_stress_bunch_failure                    0.00886067130304445 0.000195348132017473
18          female_stress_inflorescence_abortion_asymptote 0.00886067130304445 0.000195348132017473
19          female_stress_inflorescence_abortion_increase  0.00886067130304445 0.000195348132017473
20          female_stress_inflorescence_abortion_x0        0.00886067130304445 0.000195348132017473
21          stalk_conversion_efficiency                    0.00886067130304445 0.000195348132017473
22          stalk_potential_mass_fraction                  0.00886067130304445 0.000195348132017473
23          stalk_specific_maintenance                     0.00886067130304445 0.000195348132017473
24          stalk_t_growth_start                           0.00886067130304445 0.000195348132017473
25          stalk_t_growth_end                             0.00886067130304445 0.000195348132017473
26          mesocarp_fibers_conversion_efficiency          0.00886067130304445 0.000195348132017473
27          mesocarp_fibers_potential_mass_fraction        0.00886067130304445 0.000195348132017473
28          mesocarp_fibers_specific_maintenance           0.00886067130304445 0.000195348132017473
29          mesocarp_fibers_t_growth_start                 0.00886067130304445 0.000195348132017473
30          mesocarp_fibers_t_growth_end                   0.00886067130304445 0.000195348132017473
31          mesocarp_oil_conversion_efficiency             0.00886067130304445 0.000195348132017473
32          female_inflorescence_abortion_dt               0.00846798660147463 0.000186690749263963
33          female_bunch_failure_t0                        0.00846798660147463 0.000186690749263963
34          female_bunch_failure_dt                        0.00846798660147463 0.000186690749263963
35          female_t_anthesis                              0.00846798660147463 0.000186690749263963
36          male_t_anthesis                                0.00758279195210361 0.00016717517134527
37          female_inflorescence_abortion_t0               0.00758279195210361 0.00016717517134527
38          soil_default_water_holding_capacity            0.00650208576333447 0.000143349218658904
39          indeterminate_potential_mass_b                 0.00615012384411116 0.000135589636894717
40          indeterminate_t_differentiation                0.00615012384411116 0.000135589636894717
41          indeterminate_bunch_FM_to_DM_ratio             0.00615012384411116 0.000135589636894717
42          soil_relative_evapotranspiration_a             0.00531110003733351 0.000117091971450804
43          soil_relative_evapotranspiration_b             0.00531110003733351 0.000117091971450804
44          indeterminate_abortion_fraction                0.00531110003733351 0.000117091971450804
45          indeterminate_potential_mass_a                 0.00531110003733351 0.000117091971450804
46          assimilates_vegetative_priority                0.0038004432160416 8.37870470194646e-05
47          fronds_asymptotic_photosynthesis_rate          0.0031706373752274 6.99019371526223e-05
48          fronds_leaf_area_a                             0.00298303302937351 6.57658895251333e-05
49          fronds_leaf_area_b                             0.00298303302937351 6.57658895251333e-05
50          fronds_leaf_area_c                             0.00298303302937351 6.57658895251333e-05
51          fronds_potential_growth_rate                   0.00298303302937351 6.57658895251333e-05
52          fronds_specific_leaf_area                      0.00298303302937351 6.57658895251333e-05
53          fronds_specific_maintenance_leaflets           0.00298303302937351 6.57658895251333e-05
54          fronds_specific_maintenance_rachis             0.00298303302937351 6.57658895251333e-05
55          fronds_time_mature_canopy                      0.00298303302937351 6.57658895251333e-05
56          trunk_mass_loss_rate                           0.00298303302937351 6.57658895251333e-05
57          fronds_fronds_goal_count_t0                    0.00208006771492697 4.58585279471122e-05
58          fronds_k                                       0.00203028386662658 4.47609607947474e-05
59          fronds_initial_light_efficiency                0.00197733987579825 4.35937230814704e-05
60          fronds_initiation_rate_a                       0.00197733987579825 4.35937230814704e-05
61          fronds_initiation_rate_b                       0.00197733987579825 4.35937230814704e-05
62          fronds_initiation_rate_c                       0.00197733987579825 4.35937230814704e-05
63          fronds_initiation_rate_max                     0.00197733987579825 4.35937230814704e-05
64          fronds_fraction_leaflets                       0.000916628880458432 2.02085974557366e-05
65          fronds_fraction_rachis                         0.000916628880458432 2.02085974557366e-05
66          fronds_fronds_goal_count_t1                    0.000916628880458432 2.02085974557366e-05
67          fronds_conversion_efficiency                   0.000542623428442826 1.1963029606888e-05
