component,parameter,value,unit,uncertainty,info,source
fronds,asymptotic_photosynthesis_rate,720,ug_CO2/m2/s,NA,"Co-determines the light response (g CH2O/m2/s) curve, the maximum value.","Gerritsma, W., 1988.  Light interception, leaf photosynthesis and sink-source relations in Oil Palm"
fronds,conversion_efficiency,0.73,g_DM/g_CH2O,NA,The conversion efficiency of the fronds.,"Copied from Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. In turn based on van Kraalingen, D.W.G., 1989. See text below table II and table III."
fronds,fraction_leaflets,0.25,1,NA,Mass of the leaflets/frond mass not clear if frond mass includes/excludes petiole.,Guestimated
fronds,fraction_rachis,0.75,1,NA,Mass of the rachis/frond mass not clear if frond mass includes/excludes petiole.,Guestimated
fronds,fronds_goal_count_t1,40,1/palm,NA,The desired number of fronds for a mature palm (t0= > 15 YAP).,"Wottiez, L.S. Sadikin, H. Turhina, S. Dani, H. Dukan, T.P. and Smit, H. (2016) Plantation Maintenance, in Smallholder Oil Palm Handbook, Module 3"
fronds,fronds_goal_count_t0,52,1/palm,NA,The desired number of fronds for a young palm (t0= 5-7 YAP).,"Wottiez, L.S. Sadikin, H. Turhina, S. Dani, H. Dukan, T.P. and Smit, H. (2016) Plantation Maintenance, in Smallholder Oil Palm Handbook, Module 3"
fronds,initial_light_efficiency,10,ug_CO2/J,NA,"Co-determines the light response (g CH2O/MJ) curve, the slope.","Gerritsma, W., 1988. Light interception, leaf photosynthesis and sink-source relations in Oil Palm"
fronds,initiation_rate_a,21.28,1/palm/year,5%,Parametrizes the frond initiation rate (exponential decay with age: a*(1+b*exp(-c*(t)) )as a function of years after planting.,"Gerritsma, W. and Soebagyo, F.X., 1998. An analysis of the growth of leaf area of oil palm in indonesia. Table 3, experiment 2, 143 palms/ha density."
fronds,initiation_rate_b,1.56,1,NA,Parametrizes the frond initiation rate (exponential decay with age: a*(1+b*exp(-c*(t))) as a function of years after planting.,"Gerritsma, W. and Soebagyo, F.X., 1998. An analysis of the growth of leaf area of oil palm in indonesia. Table 3, experiment 2, 143 palms/ha density."
fronds,initiation_rate_c,0.24,1/year,NA,Parametrizes the frond initiation rate (exponential decay with age: a*(1+b*exp(-c*(t)) )as a function of years after planting.,"Gerritsma, W. and Soebagyo, F.X., 1998. An analysis of the growth of leaf area of oil palm in indonesia. Table 3, experiment 1, 143 palms/ha density."
fronds,initiation_rate_max,50,1/year,NA,The upper limit on the frond initiation rate.,"Roughly based on Gerritsma, W. and Soebagyo, F.X., 1998. An analysis of the growth of leaf area of oil palm in indonesia. Table 3, experiment 1, 143 palms/ha density."
fronds,k,0.33,1,NA,The canopy light extinction coefficient.,"Based on the thesis by Gerritsma, W., 1988."
fronds,leaf_area_a,12.13,m**2,NA,Parametrizes leaf area (Gompertz curve: a*exp(-b*exp(-c*t)))as a function of years after planting.,"Gerritsma, W. and Soebagyo, F.X., 1998. An analysis of the growth of leaf area of oil palm in indonesia. Table 1, experiment 1, 143 palms/ha density."
fronds,leaf_area_b,2.47,1,NA,Parametrizes leaf area (Gompertz curve: a*exp(-b*exp(-c*t)))as a function of years after planting.,"Gerritsma, W. and Soebagyo, F.X., 1998. An analysis of the growth of leaf area of oil palm in indonesia. Table 1, experiment 1, 143 palms/ha density."
fronds,leaf_area_c,0.36,1/year,NA,Parametrizes leaf area (Gompertz curve: a*exp(-b*exp(-c*t)))as a function of years after planting.,"Gerritsma, W. and Soebagyo, F.X., 1998. An analysis of the growth of leaf area of oil palm in indonesia. Table 1, experiment 1, 143 palms/ha density."
fronds,potential_growth_rate,4,kg_DM/palm/month,NA,The potential growth rate,"Based on Corley et al., 1971."
fronds,specific_leaf_area,3.1,m**2/kg_DM,NA,"The specific leaf area. Not used, only for checking.","Presumably derived by dividing reported leaf area/ leaf mass found in the paper by Corley, R.H.V. and Gray, B.S. and Ng, S.K., 1971: Productivity of the oil palm in Malaysia."
fronds,specific_maintenance_leaflets,0.0083,g_CH2O/g_DM/day,NA,The specific maintenance of the leaflets.,"Copied from Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. Tableau II. Mesures realiseses a La Me."
fronds,specific_maintenance_rachis,0.0018,g_CH2O/g_DM/day,NA,The specific maintenance of the rachis.,"Copied from Dufrene, E. and Ochs, R. and Saugier, B., 1990. Photosynthese et productivite du palmier a huile en liaison avec les facteurs climatiques. Tableau II. After Gray, 1969."
fronds,time_mature_canopy,15,bool,NA,Time at desired number of fronds is reached for a mature palm.,"Wottiez, L.S. Sadikin, H. Turhina, S. Dani, H. Dukan, T.P. and Smit, H. (2016) Plantation Maintenance, in Smallholder Oil Palm Handbook, Module 3"
trunk,density_a,7.62,kg//m3/year,NA,Change in density with palm age.,"Corley, R. H. V., Hardon, J. J., & Tan, G. Y. (1971). Analysis of growth of the oil palm (Elaeis guineensis Jacq.) I. Estimation of growth parameters and application in breeding. Euphytica, 20(2), 307-315."
trunk,density_b,83,kg/m3,NA,Initial trunk density at planting,"Corley, R. H. V., Hardon, J. J., & Tan, G. Y. (1971). Analysis of growth of the oil palm (Elaeis guineensis Jacq.) I. Estimation of growth parameters and application in breeding. Euphytica, 20(2), 307-315."
