Fecha,Edad,Material,Tratamiento,Repetición,Palma,Altura,Emision foliar,Hojas,Área hoja,Área foliar,Volumen estípite,Peso seco foliar,Masa seca vegetativa,Hojas Mes,Índice de área foliar
2008-02-13,4.4,AAR,1,1,1,0,1,41,2.4,99.8,0,87,,,1.6
2008-08-28,4.9,AAR,1,1,1,26,22,45,3.2,142.9,312.3,177.7,3946.1,3.66666666666667,2.2
2009-03-26,5.5,AAR,1,1,1,69,18,49,3.5,173.9,767,157.8,2932.8,3,2.7
2009-07-31,5.8,AAR,1,1,1,110.3,33,62,5.1,316.9,1086.8,199.4,6710.6,,5
2010-09-30,7,AAR,1,1,1,151,31,37,4.7,175,1423.2,189.2,6038.2,2.21428571428571,2.8
2011-11-08,8.1,AAR,1,1,1,178.5,27,33,4.4,146.3,1344.9,243.4,6734.3,2.07692307692308,2.3
2012-12-13,9.2,AAR,1,1,1,216,,35,6.5,228.6,1372.3,230.1,,,3.6
2016-03-28,12.5,AAR,1,1,1,359,,36,6.3,228.1,1407.4,230.4,,,3.6
2010-09-30,7,AAR,1,1,2,210,,35,8.3,291.5,2390.1,254.8,,,4.6
2011-11-08,8.1,AAR,1,1,2,280.5,28,36,8.9,320.2,2843.2,288.6,8424.5,2.15384615384615,5
2012-12-13,9.2,AAR,1,1,2,324,,36,9.3,334.1,2614.3,332.6,,,5.3
2015-02-11,11.4,AAR,1,1,2,423,,32,9.1,291.1,3072.3,346.7,,,4.6
2016-03-28,12.5,AAR,1,1,2,472,,31,8.9,277,2832.3,305.8,,,4.4
2018-08-01,14.8,AAR,1,1,2,575,,36,9.1,327.8,2219.4,279,,,5.2
2007-02-20,3.4,AAR,1,1,3,36,8,56,4.2,232.5,796,150.4,1299.3,,3.7
2008-02-13,4.4,AAR,1,1,3,69,6,64,5.6,356,1365,223.6,1507.1,,5.6
2008-08-28,4.9,AAR,1,1,3,97,20,47,6.1,285.6,1429.6,242.7,5026.6,3.33333333333333,4.5
2009-03-26,5.5,AAR,1,1,3,121,18,48,7.2,343.5,1808.1,261.6,4928.4,3,5.4
2009-07-31,5.8,AAR,1,1,3,152.8,28,41,6.6,270.1,2251.8,281.8,8163.4,,4.2
2010-09-30,7,AAR,1,1,3,209,40,38,7.9,298.8,2498.1,255.5,10524.4,2.85714285714286,4.7
2011-11-08,8.1,AAR,1,1,3,184.2,30,43,9.3,400.6,1985.2,321,9870.4,2.30769230769231,6.3
2012-12-13,9.2,AAR,1,1,3,346,,34,8.4,286.1,3193.9,376.5,,,4.5
2015-02-11,11.4,AAR,1,1,3,467,,30,8.8,262.7,3552,365.6,,,4.1
2016-03-28,12.5,AAR,1,1,3,490,,39,8.4,326.6,3206.9,355.9,,,5.1
2018-08-01,14.8,AAR,1,1,3,698,,34,6.9,233.1,3996.4,316.1,,,3.7
2007-02-20,3.4,AAR,1,1,4,57.5,8,57,4.8,274.5,1259.6,163.7,1462.5,,4.3
2008-02-13,4.4,AAR,1,1,4,98.5,5,54,6.4,344.5,1745.8,205.2,1237.4,,5.4
2008-08-28,4.9,AAR,1,1,4,133.5,18,56,5.3,297.6,1644.2,169.9,3256.6,3,4.7
2009-03-26,5.5,AAR,1,1,4,157,17,53,7.2,384,1916.8,263.8,4717.1,2.83333333333333,6
2009-07-31,5.8,AAR,1,1,4,182.8,25,54,6.5,349.1,1973.5,308.7,7957.6,,5.5
