Siembra;Año;Mes;Fecha;Edad;Tratamiento;Repetición;Palma;RFF_kg;NR_unidad;PMR_kg;Ton_ha
1/10/2003;2005;10;1/10/2005;2.00;1;1;2;1.5;1.0;1.5;0.2
1/10/2003;2005;10;1/10/2005;2.00;1;1;4;7.5;2.0;3.8;1.1
1/10/2003;2005;10;1/10/2005;2.00;1;1;5;2.5;1.0;2.5;0.4
1/10/2003;2005;10;1/10/2005;2.00;1;4;1;1.0;1.0;1.0;0.1
1/10/2003;2005;10;1/10/2005;2.00;1;4;2;3.5;2.0;1.8;0.5
1/10/2003;2005;10;1/10/2005;2.00;1;4;3;3.5;1.0;3.5;0.5
1/10/2003;2005;10;1/10/2005;2.00;2;2;3;2.0;2.0;1.0;0.3
1/10/2003;2005;10;1/10/2005;2.00;8;2;2;3.0;2.0;1.5;0.4
1/10/2003;2005;10;1/10/2005;2.00;8;2;3;8.5;3.0;2.8;1.2
1/10/2003;2005;10;1/10/2005;2.00;8;2;5;9.5;3.0;3.2;1.4
1/10/2003;2005;10;1/10/2005;2.00;8;4;1;3.0;1.0;3.0;0.4
1/10/2003;2005;10;1/10/2005;2.00;8;4;5;3.0;1.0;3.0;0.4
1/10/2003;2005;10;1/10/2005;2.00;9;3;5;2.0;1.0;2.0;0.3
1/10/2003;2005;10;1/10/2005;2.00;10;2;2;1.5;1.0;1.5;0.2
1/10/2003;2005;10;1/10/2005;2.00;10;2;3;2.0;1.0;2.0;0.3
1/10/2003;2005;10;1/10/2005;2.00;11;1;1;7.0;2.0;3.5;1.0
1/10/2003;2005;10;1/10/2005;2.00;11;2;1;2.5;1.0;2.5;0.4
1/10/2003;2005;10;1/10/2005;2.00;11;2;2;6.0;3.0;2.0;0.9
1/10/2003;2005;10;1/10/2005;2.00;11;2;3;8.0;3.0;2.7;1.1
1/10/2003;2005;10;1/10/2005;2.00;11;2;5;4.0;2.0;2.0;0.6
1/10/2003;2005;10;1/10/2005;2.00;11;3;4;8.5;2.0;4.3;1.2
1/10/2003;2005;10;1/10/2005;2.00;11;3;6;9.0;2.0;4.5;1.3
1/10/2003;2005;10;1/10/2005;2.00;11;4;1;1.0;1.0;1.0;0.1
1/10/2003;2005;10;1/10/2005;2.00;11;4;2;3.5;2.0;1.8;0.5
1/10/2003;2005;10;1/10/2005;2.00;11;4;5;2.0;1.0;2.0;0.3
1/10/2003;2005;10;1/10/2005;2.00;18;2;6;2.0;1.0;2.0;0.3
1/10/2003;2005;10;1/10/2005;2.00;18;4;1;5.0;2.0;2.5;0.7
1/10/2003;2005;10;1/10/2005;2.00;18;4;6;4.0;2.0;2.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;1;1;1;3.0;1.0;3.0;0.4
1/10/2003;2005;11;1/11/2005;2.09;1;1;2;3.0;1.0;3.0;0.4
1/10/2003;2005;11;1/11/2005;2.09;1;1;4;6.0;2.0;3.0;0.9
1/10/2003;2005;11;1/11/2005;2.09;1;1;6;6.0;2.0;3.0;0.9
1/10/2003;2005;11;1/11/2005;2.09;1;2;1;3.0;1.0;3.0;0.4
1/10/2003;2005;11;1/11/2005;2.09;1;2;4;6.0;1.0;6.0;0.9
1/10/2003;2005;11;1/11/2005;2.09;1;2;5;5.0;1.0;5.0;0.7
1/10/2003;2005;11;1/11/2005;2.09;1;2;6;6.0;2.0;3.0;0.9
1/10/2003;2005;11;1/11/2005;2.09;1;3;3;2.0;2.0;1.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;1;4;4;3.0;1.0;3.0;0.4
1/10/2003;2005;11;1/11/2005;2.09;2;1;3;8.0;2.0;4.0;1.1
1/10/2003;2005;11;1/11/2005;2.09;2;1;6;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;2;2;3;4.0;2.0;2.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;4;2;5;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;6;1;2;4.0;2.0;2.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;6;1;3;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;6;1;5;5.0;2.0;2.5;0.7
1/10/2003;2005;11;1/11/2005;2.09;6;1;6;13.0;3.0;4.3;1.9
1/10/2003;2005;11;1/11/2005;2.09;6;4;4;4.0;2.0;2.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;7;1;1;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;7;1;4;6.0;2.0;3.0;0.9
1/10/2003;2005;11;1/11/2005;2.09;7;1;5;4.0;1.0;4.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;7;2;1;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;8;1;1;24.5;8.0;3.1;3.5
1/10/2003;2005;11;1/11/2005;2.09;8;1;2;4.0;1.0;4.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;8;1;4;9.0;3.0;3.0;1.3
1/10/2003;2005;11;1/11/2005;2.09;8;1;6;3.0;1.0;3.0;0.4
1/10/2003;2005;11;1/11/2005;2.09;8;2;1;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;8;2;3;8.0;2.0;4.0;1.1
1/10/2003;2005;11;1/11/2005;2.09;9;1;2;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;9;1;4;3.5;1.0;3.5;0.5
1/10/2003;2005;11;1/11/2005;2.09;9;1;5;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;9;3;5;8.0;2.0;4.0;1.1
1/10/2003;2005;11;1/11/2005;2.09;9;4;2;3.0;2.0;1.5;0.4
1/10/2003;2005;11;1/11/2005;2.09;9;4;3;7.0;2.0;3.5;1.0
1/10/2003;2005;11;1/11/2005;2.09;9;4;5;8.0;3.0;2.7;1.1
1/10/2003;2005;11;1/11/2005;2.09;9;4;6;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;10;2;3;5.0;2.0;2.5;0.7
1/10/2003;2005;11;1/11/2005;2.09;10;2;6;5.0;2.0;2.5;0.7
1/10/2003;2005;11;1/11/2005;2.09;10;3;5;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;10;3;6;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;10;4;1;5.0;2.0;2.5;0.7
1/10/2003;2005;11;1/11/2005;2.09;10;4;2;4.0;1.0;4.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;10;4;5;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;11;1;1;4.0;1.0;4.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;11;2;2;4.0;1.0;4.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;11;2;3;7.0;1.0;7.0;1.0
1/10/2003;2005;11;1/11/2005;2.09;11;2;4;2.0;2.0;1.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;11;2;5;7.0;2.0;3.5;1.0
1/10/2003;2005;11;1/11/2005;2.09;11;3;1;5.0;2.0;2.5;0.7
1/10/2003;2005;11;1/11/2005;2.09;11;3;3;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;11;3;4;10.0;2.0;5.0;1.4
1/10/2003;2005;11;1/11/2005;2.09;11;3;5;9.0;3.0;3.0;1.3
1/10/2003;2005;11;1/11/2005;2.09;11;3;6;10.5;1.0;10.5;1.5
1/10/2003;2005;11;1/11/2005;2.09;11;4;5;3.0;1.0;3.0;0.4
1/10/2003;2005;11;1/11/2005;2.09;12;3;1;1.0;1.0;1.0;0.1
1/10/2003;2005;11;1/11/2005;2.09;17;4;1;1.5;1.0;1.5;0.2
1/10/2003;2005;11;1/11/2005;2.09;17;4;3;1.0;1.0;1.0;0.1
1/10/2003;2005;11;1/11/2005;2.09;18;1;1;13.0;4.0;3.3;1.9
1/10/2003;2005;11;1/11/2005;2.09;18;1;2;11.0;3.0;3.7;1.6
1/10/2003;2005;11;1/11/2005;2.09;18;1;3;4.0;1.0;4.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;18;1;4;6.0;2.0;3.0;0.9
1/10/2003;2005;11;1/11/2005;2.09;18;1;5;8.0;4.0;2.0;1.1
1/10/2003;2005;11;1/11/2005;2.09;18;1;6;7.0;3.0;2.3;1.0
1/10/2003;2005;11;1/11/2005;2.09;18;2;1;8.0;2.0;4.0;1.1
1/10/2003;2005;11;1/11/2005;2.09;18;2;3;2.0;1.0;2.0;0.3
1/10/2003;2005;11;1/11/2005;2.09;18;2;6;12.0;3.0;4.0;1.7
1/10/2003;2005;11;1/11/2005;2.09;18;3;5;5.5;3.0;1.8;0.8
1/10/2003;2005;11;1/11/2005;2.09;18;4;1;4.0;1.0;4.0;0.6
1/10/2003;2005;11;1/11/2005;2.09;19;2;1;1.0;1.0;1.0;0.1
1/10/2003;2005;12;1/12/2005;2.17;1;1;2;2.0;1.0;2.0;0.3
1/10/2003;2005;12;1/12/2005;2.17;1;1;4;4.0;1.0;4.0;0.6
1/10/2003;2005;12;1/12/2005;2.17;1;1;5;3.5;1.0;3.5;0.5
1/10/2003;2005;12;1/12/2005;2.17;1;2;1;4.0;1.0;4.0;0.6
1/10/2003;2005;12;1/12/2005;2.17;1;2;4;3.0;1.0;3.0;0.4
1/10/2003;2005;12;1/12/2005;2.17;1;2;5;12.0;3.0;4.0;1.7
1/10/2003;2005;12;1/12/2005;2.17;1;2;6;4.0;1.0;4.0;0.6
1/10/2003;2005;12;1/12/2005;2.17;1;3;3;3.0;2.0;1.5;0.4
1/10/2003;2005;12;1/12/2005;2.17;1;3;6;7.0;5.0;1.4;1.0
1/10/2003;2005;12;1/12/2005;2.17;2;1;3;3.0;1.0;3.0;0.4
1/10/2003;2005;12;1/12/2005;2.17;2;1;6;1.0;1.0;1.0;0.1
1/10/2003;2005;12;1/12/2005;2.17;2;2;3;2.0;1.0;2.0;0.3
1/10/2003;2005;12;1/12/2005;2.17;3;1;3;2.0;1.0;2.0;0.3
1/10/2003;2005;12;1/12/2005;2.17;3;2;2;4.0;1.0;4.0;0.6
1/10/2003;2005;12;1/12/2005;2.17;4;1;5;3.0;1.0;3.0;0.4
1/10/2003;2005;12;1/12/2005;2.17;4;2;2;3.0;1.0;3.0;0.4
1/10/2003;2005;12;1/12/2005;2.17;4;2;5;2.0;1.0;2.0;0.3
1/10/2003;2005;12;1/12/2005;2.17;4;4;2;2.0;1.0;2.0;0.3
1/10/2003;2005;12;1/12/2005;2.17;6;1;1;3.0;1.0;3.0;0.4
1/10/2003;2005;12;1/12/2005;2.17;6;1;3;5.0;2.0;2.5;0.7
1/10/2003;2005;12;1/12/2005;2.17;6;1;6;7.5;2.0;3.8;1.1
1/10/2003;2005;12;1/12/2005;2.17;6;4;4;2.0;1.0;2.0;0.3
